Pollo a la cerveza,40
Pollo al curry,35
Pollo al ajillo,30
Pinchitos de pollo,10
Fajitas de pollo,10
Pollo al chilindrón,50
Garbanzos con patatas cocidas,50
Lentejas con patatas cocidas,45
Puchero,25
Pasta carbonara,13
Pasta aglio/olio,14
Fideua boloñesa,14
Pasta puttanesca,12
Ensalada de pasta,10
Sopa de fideos,8
Pasta con berenjena,17
Arroz amarillo,20
Arroz a la cubana,20
Risotto de verduras,25
Paella,55
Croquetas de jamón,90
Albóndigas en salsa de almendras,60
Pollo asado,50
Pimientos rellenos,20
Ternera con pimientos,8
Currywurst,30
Solomillo de cerdo a la mostaza,15
Solomillo de cerdo a la pimienta,10
Ternera en salsa con patatas,25
Puré de patata y zanahoria,25
Pisto con huevo,16
Ensalada mixta,10
Verduras rellenas,15
Patatas a la riojana,40
Crema de verduras,35
Sopa minestrone,15
Salmón a la plancha,5
Salmón al papillote,8
Marmita de salmón,38
Tortilla de patatas,30
Sopa de ajo,10
Menestra de verduras,14
Empanada de verduras,30
Macarrones a la boloñesa,30

